index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-09-12,555.5107421875,0.008423390578411238,558.0299682617188,0.008467018699865658,-4.3628121454419855e-05,4.3628121454419855e-05,0.004640245668344618,0.004851757660981097,0,0,0.0,5,1.009737862646702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004851757660981097,0.0,0.0,0.0,0,0.0,0.0
2024-09-13,558.4119873046875,0.00522266249211123,560.8887939453125,0.005123068376594597,9.959411551663244e-05,9.959411551663244e-05,0.003017902315512759,0.003358551180162333,1,0,0.0,5,0.985281258631344,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.003358551180162333,0.0,0.0,0.0,0,0.0,0.0
2024-09-14,558.4119873046875,0.0,560.8887939453125,0.0,0.0,0.0,0.003959555568400347,0.004194054878571301,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004194054878571301,0.0,0.0,0.0,0,0.0,0.0
2024-09-15,558.4119873046875,0.0,560.8887939453125,0.0,0.0,0.0,0.004721865189453829,0.004885387787430478,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004885387787430478,0.0,0.0,0.0,0,0.0,0.0
2024-09-16,559.2366943359375,0.001476879168068379,561.8218994140625,0.0016636193819927758,-0.00018674021392439677,0.00018674021392439677,0.0036969672882460267,0.003679971214532445,0,0,0.0,5,1.131649694663216,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0036969672882460267,0.0,0.0,0.0,0,0.0,0.0
2024-09-17,559.4652099609375,0.00040862058465496176,562.0303344726562,0.00037099845842814005,3.7622126226821706e-05,3.7622126226821706e-05,0.002209024234023075,0.0021739712796694528,1,0,0.0,5,0.9120917662704613,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002209024234023075,0.0,0.0,0.0,0,0.0,0.0
2024-09-18,557.8059692382812,-0.0029657621119498767,560.352783203125,-0.0029848055641076288,1.904345215775205e-05,1.904345215775205e-05,0.0016515518770994424,0.001705415068082889,1,0,0.0,5,1.0110161866394323,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001705415068082889,0.0,0.0,0.0,0,0.0,0.0
2024-09-19,567.3245849609375,0.01706438483556294,569.9614868164062,0.01714759683775524,-8.321200219230107e-05,8.321200219230107e-05,0.00792525525318335,0.007959007451754223,0,0,0.0,5,1.0095469801143848,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007959007451754223,0.0,0.0,0.0,0,0.0,0.0
2024-09-20,566.3438720703125,-0.0017286627736968763,568.7703247070312,-0.0020898992948249484,0.00036123652112807214,0.00036123652112807214,0.008134521594700501,0.008222191363507027,1,0,0.0,5,1.2141484876813613,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008222191363507027,0.0,0.0,0.0,0,0.0,0.0
2024-09-21,566.3438720703125,0.0,568.7703247070312,0.0,0.0,0.0,0.008223226197675286,0.008313909709660169,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008313909709660169,0.0,0.0,0.0,0,0.0,0.0
